workerid,condition,browser,gender,age,trialType,whichCharFirst,storyID,distance1,distance2,attentionCheck1,attentionCheck2,reactionTime,order,happy1,sad1,relief1,regret1,content1,disapp1,closeness1,happy2,sad2,relief2,regret2,content2,disapp2,closeness2,forcedWorse
265,1,Chrome,F,27,2,2,11,1,19,1,19,228742,1,3,2,2,7,2,8,3,3,2,2,7,2,8,2,3
266,1,Chrome,M,28,1,2,11,11,19,11,19,177021,1,2,9,1,1,1,9,9,1,9,1,1,1,9,1,3
267,1,Chrome,M,26,3,1,11,11,1,11,1,108663,1,2,7,2,6,2,8,5,2,6,2,6,2,8,5,3
268,1,Firefox,M,28,3,1,11,11,1,11,1,158800,1,6,6,6,6,6,6,9,5,5,5,6,6,6,2,3
269,1,Safari,F,46,3,1,11,11,1,11,1,163103,1,4,6,2,9,2,9,9,2,8,1,9,1,9,1,1
270,1,Firefox,M,38,3,1,11,11,1,11,1,205993,1,2,8,1,7,3,9,7,2,8,1,7,3,9,5,3
271,1,Chrome,F,51,1,1,11,19,11,19,11,190598,1,3,6,1,6,3,6,1,3,7,1,7,3,7,9,2
272,1,Chrome,M,22,1,1,11,19,11,19,11,354601,1,1,6,2,8,1,7,9,1,5,1,7,2,9,9,3
273,1,Chrome,F,35,3,2,11,1,11,1,11,136848,1,1,8,1,7,2,1,1,1,7,1,5,5,5,8,1
274,1,Chrome,F,24,3,2,11,1,11,1,11,90454,1,5,7,4,6,5,6,1,4,6,4,6,3,6,4,2
275,1,Firefox,M,26,2,2,11,1,19,1,19,147899,1,3,8,5,8,1,7,2,3,2,7,9,1,9,1,2
276,1,Chrome,M,19,2,1,11,19,1,19,1,239781,1,5,4,2,1,3,7,7,4,3,3,1,3,7,2,1
277,1,Chrome,F,25,2,2,11,1,19,1,19,83565,1,1,7,1,7,1,9,1,1,7,1,7,1,9,1,3
278,1,Safari,F,27,3,2,11,1,11,1,11,193873,1,1,6,1,4,1,9,2,1,8,1,8,1,9,9,2
279,1,Firefox,F,29,2,1,11,19,1,19,1,145854,1,1,9,1,1,3,9,4,2,7,3,2,3,2,1,3
280,1,Chrome,F,24,1,2,11,11,19,11,19,160810,1,2,5,2,3,4,7,1,2,5,2,3,2,6,2,3
281,1,Chrome,M,26,3,1,11,11,1,11,1,181194,1,6,3,4,5,6,4,5,3,4,6,3,5,4,4,3
282,1,Firefox,F,24,3,1,11,11,1,11,1,223665,1,1,2,2,8,4,8,5,5,3,2,5,4,7,6,1
283,1,Chrome,M,33,2,2,11,1,19,1,19,236525,1,5,3,6,5,2,8,5,5,3,7,4,5,7,5,3
284,1,Chrome,M,49,3,1,11,11,1,11,1,334018,1,5,4,4,1,5,5,2,5,4,4,1,5,5,2,3
285,1,Firefox,M,28,2,2,11,1,19,1,19,224003,1,5,5,1,6,2,6,2,5,5,1,7,7,6,3,2
286,1,Chrome,M,28,2,2,11,1,19,1,19,95349,1,2,8,2,6,2,8,2,5,2,4,2,4,6,6,1
287,1,Chrome,F,23,2,2,11,1,19,1,19,264933,1,3,7,2,7,2,9,3,2,7,2,8,2,9,1,3
288,1,Chrome,M,20,3,1,11,11,1,11,1,140193,1,1,5,1,4,1,7,5,1,3,1,3,1,4,3,1
289,1,Chrome,M,29,2,1,11,19,1,19,1,193149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
290,1,Chrome,M,44,3,2,11,1,11,1,11,251028,1,1,3,1,6,3,8,1,1,3,1,6,2,7,2,3
291,1,Chrome,F,29,3,2,11,1,11,1,11,126153,1,1,9,1,9,1,9,5,1,9,1,9,1,9,5,2
292,1,Chrome,M,31,3,1,11,11,1,11,1,350659,1,1,9,1,9,1,9,9,1,9,1,9,1,9,9,3
293,1,Chrome,F,29,1,1,11,19,11,19,11,254827,1,1,3,1,7,1,9,2,7,4,1,9,2,9,6,3
294,1,Chrome,F,28,2,1,11,19,1,10,1,96029,1,5,7,6,1,2,3,5,4,7,6,1,1,1,6,2
295,1,Chrome,M,48,1,2,11,11,19,11,11,1069102,1,3,5,3,6,4,7,3,3,3,4,5,4,7,5,3
296,1,Chrome,F,24,2,1,11,19,1,19,1,59116,1,1,9,1,9,1,9,5,1,9,1,9,1,9,5,3
297,1,Chrome,M,32,2,2,11,1,19,1,19,128318,1,1,9,1,5,1,9,1,1,9,1,5,1,9,1,3
298,1,Chrome,F,28,3,1,11,11,1,11,1,332412,1,4,6,2,7,2,7,6,4,6,2,5,2,6,3,1
299,1,Chrome,M,40,2,2,11,1,19,1,19,1093435,1,5,6,6,4,4,6,5,5,6,4,6,4,6,5,3
300,1,Chrome,M,31,3,2,11,1,11,1,11,160386,1,2,6,3,6,3,7,2,2,7,2,7,2,8,8,2
