workerid,condition,browser,gender,age,storyID,order,whichCharFirst,trialType,distance1,distance2,attentionCheck1,attentionCheck2,attentionCheckWL1,attentionCheckWL2,reactionTime,happy1,sad1,relief1,regret1,content1,disapp1,happy2,sad2,relief2,regret2,content2,disapp2,forcedWorse
66,1,Firefox,M,63,7,0,1,1,1,5,1,5,L,L,225771,1,9,5,9,1,9,1,9,5,9,1,9,3
67,1,Chrome,M,19,7,0,2,1,5,1,5,1,L,L,52874,4,7,2,4,2,8,3,8,2,7,2,8,3
68,1,Firefox,M,28,7,0,2,1,5,1,5,1,L,L,155581,5,4,5,1,3,4,5,4,5,1,3,2,3
69,1,Firefox,F,33,7,0,1,1,1,5,1,5,L,L,96151,1,9,1,8,2,1,1,9,1,9,1,9,3
70,1,Chrome,M,44,7,0,2,1,5,1,5,1,L,L,118599,1,9,3,6,1,9,1,9,3,6,1,9,3
71,1,Chrome,F,46,7,0,1,1,1,5,1,5,L,L,52265,1,3,1,2,1,7,1,6,1,5,1,7,3
72,1,Chrome,F,68,7,0,1,1,1,5,1,5,L,L,121444,1,1,5,9,1,9,1,1,5,9,1,9,2
73,1,Chrome,M,25,7,0,1,1,1,5,1,5,L,L,80284,2,8,2,5,3,8,2,8,2,5,2,8,3
74,1,Chrome,F,32,7,0,1,1,1,5,1,5,L,L,130037,1,7,1,3,1,9,1,6,1,5,1,9,2
75,1,Chrome,M,22,7,0,1,1,1,5,1,5,L,L,107582,3,7,2,7,3,9,2,7,2,8,1,9,3
76,1,Mozilla,F,53,7,0,2,1,5,1,5,1,L,L,152241,1,9,1,9,1,9,1,9,1,9,1,9,3
77,1,Chrome,F,49,7,0,1,1,1,5,1,5,L,L,91438,3,7,2,4,4,8,3,7,2,6,2,8,3
78,1,Chrome,F,27,7,0,1,1,1,5,1,5,L,L,62538,2,8,2,7,2,9,2,8,1,8,2,9,3
79,1,Firefox,M,37,7,0,2,1,5,1,5,1,L,L,54128,1,9,1,9,1,9,1,9,1,9,1,9,3
80,1,Chrome,M,28,7,0,1,1,1,5,1,5,L,L,124053,1,8,1,7,1,9,1,8,1,8,1,9,2
